2023-08-25 10:42:12.6145|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-25 10:42:12.6314|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-25 10:42:12.6314|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\VS2022\ToDoList\ToDoList |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-08-25 10:42:13.9726|0|INFO|ToDoList.Service.Implementations.TaskService|Request for get all tasks |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:42:13.9726|0|INFO|ToDoList.Service.Implementations.TaskService|Get tasks: 25.08.2023 10:42:13 |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:42:29.2574|0|INFO|ToDoList.Service.Implementations.AccountService|Request for login a user: Lavenka |url: https://localhost/Account/Login|action: Login|ToDoList.Service.Implementations.AccountService.Login
2023-08-25 10:42:29.4600|0|INFO|ToDoList.Service.Implementations.AccountService|User logined: Lavenka |url: https://localhost/Account/Login|action: Login|ToDoList.Service.Implementations.AccountService.Login
2023-08-25 10:42:29.4719|0|INFO|ToDoList.Service.Implementations.TaskService|Request for get all tasks |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:42:29.4719|0|INFO|ToDoList.Service.Implementations.TaskService|Get tasks: 25.08.2023 10:42:29 |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:42:31.0963|0|INFO|ToDoList.Service.Implementations.TaskService|Request for get all tasks |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:42:31.1132|0|INFO|ToDoList.Service.Implementations.TaskService|Get tasks: 25.08.2023 10:42:31 |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:46:36.0661|0|INFO|ToDoList.Service.Implementations.TaskService|Request for get all tasks |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:46:36.0661|0|INFO|ToDoList.Service.Implementations.TaskService|Get tasks: 25.08.2023 10:46:36 |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:47:21.4632|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-25 10:47:21.4809|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-25 10:47:21.4809|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\VS2022\ToDoList\ToDoList |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-08-25 10:47:22.3314|0|INFO|ToDoList.Service.Implementations.TaskService|Request for get all tasks |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:47:22.3314|0|INFO|ToDoList.Service.Implementations.TaskService|Get tasks: 25.08.2023 10:47:22 |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:48:27.6947|0|INFO|ToDoList.Service.Implementations.TaskService|Request for end a task - Buy lox |url: https://localhost/Task/EndTask/30010|action: EndTask|ToDoList.Service.Implementations.TaskService.EndTask
2023-08-25 10:48:27.8348|0|INFO|ToDoList.Service.Implementations.TaskService|End task: Buy lox 24.08.2023 15:09:12 |url: https://localhost/Task/EndTask/30010|action: EndTask|ToDoList.Service.Implementations.TaskService.EndTask
2023-08-25 10:48:27.9114|0|INFO|ToDoList.Service.Implementations.TaskService|Request for get all tasks |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:48:27.9114|0|INFO|ToDoList.Service.Implementations.TaskService|Get tasks: 25.08.2023 10:48:27 |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:48:31.9873|0|INFO|ToDoList.Service.Implementations.TaskService|Request for get all tasks |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:48:31.9873|0|INFO|ToDoList.Service.Implementations.TaskService|Get tasks: 25.08.2023 10:48:31 |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:48:39.0382|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-25 10:48:39.0509|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-25 10:48:39.0509|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\VS2022\ToDoList\ToDoList |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-08-25 10:48:39.9002|0|INFO|ToDoList.Service.Implementations.TaskService|Request for get all tasks |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:48:39.9002|0|INFO|ToDoList.Service.Implementations.TaskService|Get tasks: 25.08.2023 10:48:39 |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:49:54.8938|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-25 10:49:54.8938|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-25 10:49:54.8938|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\VS2022\ToDoList\ToDoList |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-08-25 10:49:55.7864|0|INFO|ToDoList.Service.Implementations.TaskService|Request for get all tasks |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:49:55.7864|0|INFO|ToDoList.Service.Implementations.TaskService|Get tasks: 25.08.2023 10:49:55 |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:50:36.8891|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-25 10:50:36.9064|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-25 10:50:36.9064|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\VS2022\ToDoList\ToDoList |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-08-25 10:50:37.7811|0|INFO|ToDoList.Service.Implementations.TaskService|Request for get all tasks |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:50:37.7844|0|INFO|ToDoList.Service.Implementations.TaskService|Get tasks: 25.08.2023 10:50:37 |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:50:51.0665|0|INFO|ToDoList.Service.Implementations.TaskService|Request for create a task - Покупка продуктов |url: https://localhost/Task/Create|action: Create|ToDoList.Service.Implementations.TaskService.Create
2023-08-25 10:50:51.3196|0|INFO|ToDoList.Service.Implementations.TaskService|Task created: Покупка продуктов 25.08.2023 10:50:51 |url: https://localhost/Task/Create|action: Create|ToDoList.Service.Implementations.TaskService.Create
2023-08-25 10:50:53.4780|0|INFO|ToDoList.Service.Implementations.TaskService|Request for get all tasks |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:50:53.4780|0|INFO|ToDoList.Service.Implementations.TaskService|Get tasks: 25.08.2023 10:50:53 |url: https://localhost/|action: TaskForm|ToDoList.Service.Implementations.TaskService.GetAll
2023-08-25 10:52:56.4006|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
